V2,V81,V84,V297,V417,V420,V497,V601,V713,V721,V86,V103,V104,V370,V6,V868,V7,V172,V279,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V610
1093,WEIBLICH,56,VERHEIRAT.ZUSAM.LEB.,NA,625 - 749 EURO,1750,ROEMISCH-KATHOLISCH,NA,NA,FACHHOCHSCHULREIFE,HAUPTBERUFL.HALBTAGS,ANGESTELLTER,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,27.41,MANCHMAL,MANCHMAL,OFT,OFT,FAST NIE,NIE,FAST NIE,FAST NIE,NIE,NIE,NIE,.._duplicated_9
1094,WEIBLICH,28,LEDIG,3500,3000 - 3999 EURO,2000,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,RHEINLAND-PFALZ,ALTE BUNDESLAENDER,OBERE MITTELSCHICHT,25.4,IMMER,MANCHMAL,MANCHMAL,OFT,MANCHMAL,MANCHMAL,OFT,OFT,OFT,IMMER,OFT,.._duplicated_8
1095,WEIBLICH,43,GESCHIEDEN,NA,1000 - 1124 EURO,818,ROEMISCH-KATHOLISCH,NA,NA,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,SONST.SELBSTAENDIGE,EHEM. UDSSR,NEIN,BREMEN,ALTE BUNDESLAENDER,UNTERSCHICHT,26.64,IMMER,OFT,NIE,FAST NIE,OFT,NIE,FAST NIE,FAST NIE,FAST NIE,FAST NIE,FAST NIE,.._duplicated_2
1096,MAENNLICH,65,VERHEIRAT.ZUSAM.LEB.,1500,1500 - 1749 EURO,2000,ROEMISCH-KATHOLISCH,FRUEHER ERWERBSTAETIG,IM RUHESTAND,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,ARBEITERSCHICHT,33.95,FAST NIE,MANCHMAL,FAST NIE,NIE,OFT,NIE,MANCHMAL,MANCHMAL,FAST NIE,FAST NIE,FAST NIE,.._duplicated_5
1097,WEIBLICH,24,LEDIG,391,300 - 399 EURO,707,EVANG.OHNE FREIKIRCH,FRUEHER ERWERBSTAETIG,ARBEITSLOS,ANDERER ABSCHLUSS,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,NIEDERSACHSEN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,19.16,FAST NIE,FAST NIE,IMMER,OFT,NIE,NIE,NIE,NIE,FAST NIE,FAST NIE,NIE,GANZ ZUFRIEDEN
1098,WEIBLICH,21,LEDIG,1200,1125 - 1249 EURO,1200,EVANG.OHNE FREIKIRCH,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,THUERINGEN,NEUE BUNDESLAENDER,MITTELSCHICHT,25.95,MANCHMAL,FAST NIE,IMMER,MANCHMAL,OFT,OFT,FAST NIE,FAST NIE,FAST NIE,FAST NIE,MANCHMAL,.._duplicated_8
1099,WEIBLICH,26,VERHEIRAT.ZUSAM.LEB.,1125,1125 - 1249 EURO,1522,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,THUERINGEN,NEUE BUNDESLAENDER,MITTELSCHICHT,22.21,MANCHMAL,OFT,FAST NIE,IMMER,NIE,OFT,NIE,NIE,OFT,OFT,OFT,.._duplicated_7
1100,MAENNLICH,81,VERHEIRAT.ZUSAM.LEB.,1400,1375 - 1499 EURO,1333,EVANG.OHNE FREIKIRCH,FRUEHER ERWERBSTAETIG,IM RUHESTAND,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,ARBEITERSCHICHT,31.89,MANCHMAL,NIE,MANCHMAL,OFT,OFT,NIE,OFT,OFT,NIE,NIE,NIE,.._duplicated_4
1101,MAENNLICH,72,GESCHIEDEN,1000,1000 - 1124 EURO,1000,ROEMISCH-KATHOLISCH,FRUEHER ERWERBSTAETIG,IM RUHESTAND,HOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,SACHSEN-ANHALT,NEUE BUNDESLAENDER,MITTELSCHICHT,33.03,FAST NIE,FAST NIE,OFT,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,FAST NIE,FAST NIE,FAST NIE,.._duplicated_5
1102,WEIBLICH,71,LEDIG,1200,1125 - 1249 EURO,1200,EVANG.OHNE FREIKIRCH,NIE ERWERBSTAETIG,IM RUHESTAND,HOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,MITTELSCHICHT,26.49,MANCHMAL,MANCHMAL,OFT,OFT,NIE,MANCHMAL,NIE,NIE,NIE,NIE,NIE,.._duplicated_9
1103,MAENNLICH,25,LEDIG,1200,1125 - 1249 EURO,2360,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,"SCHUELER, STUDENT",HOCHSCHULREIFE,NEBENHER BERUFSTAE.,NA,DEUTSCHLAND,JA,EHEM. BERLIN-WEST,ALTE BUNDESLAENDER,UNTERSCHICHT,25.18,OFT,OFT,MANCHMAL,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_7
1104,MAENNLICH,60,VERHEIRAT.ZUSAM.LEB.,1509,1500 - 1749 EURO,1300,EVANG.OHNE FREIKIRCH,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,MITTELSCHICHT,27.46,NIE,NIE,OFT,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
1105,MAENNLICH,28,LEDIG,NA,2000 - 2249 EURO,2125,KEINER RELIGIONSGEM.,NA,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,MITTELSCHICHT,25.06,MANCHMAL,FAST NIE,MANCHMAL,MANCHMAL,NIE,FAST NIE,NIE,FAST NIE,NIE,NIE,FAST NIE,.._duplicated_7
1106,WEIBLICH,19,LEDIG,300,300 - 399 EURO,NA,EVANG.FREIKIRCHE,ERWERBSTAETIG,"AZUBI, ETC.",FACHHOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,NIEDERSACHSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,21.16,MANCHMAL,MANCHMAL,OFT,OFT,NIE,MANCHMAL,NIE,NIE,NIE,NIE,NIE,.._duplicated_7
1107,MAENNLICH,23,LEDIG,600,500 - 624 EURO,600,AND.NICHT-CHRISTLICH,NA,NA,HOCHSCHULREIFE,NEBENHER BERUFSTAE.,NA,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,KEINER DER SCHICHTEN,23.57,FAST NIE,FAST NIE,OFT,IMMER,FAST NIE,FAST NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
1108,WEIBLICH,62,VERHEIRAT.ZUSAM.LEB.,450,400 - 499 EURO,1250,EVANG.FREIKIRCHE,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BRANDENBURG,NEUE BUNDESLAENDER,ARBEITERSCHICHT,22.96,NIE,MANCHMAL,OFT,OFT,FAST NIE,MANCHMAL,FAST NIE,FAST NIE,NIE,NIE,NIE,.._duplicated_8
1109,WEIBLICH,53,VERHEIRAT.ZUSAM.LEB.,1100,1000 - 1124 EURO,3000,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.HALBTAGS,ANGESTELLTER,DEUTSCHLAND,JA,HESSEN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,18.91,OFT,MANCHMAL,NIE,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,GANZ ZUFRIEDEN
1110,MAENNLICH,49,VERHEIRAT.ZUSAM.LEB.,2000,2000 - 2249 EURO,2667,ROEMISCH-KATHOLISCH,NA,NA,FACHHOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,25.61,IMMER,NIE,OFT,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_9
1111,MAENNLICH,21,LEDIG,650,625 - 749 EURO,650,ROEMISCH-KATHOLISCH,NA,NA,HOCHSCHULREIFE,NEBENHER BERUFSTAE.,NA,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,22.22,OFT,MANCHMAL,NIE,MANCHMAL,NIE,FAST NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_6
1112,MAENNLICH,43,VERHEIRAT.ZUSAM.LEB.,3400,3000 - 3999 EURO,1905,KEINER RELIGIONSGEM.,NA,NA,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,"JA, UND ANDERE",HESSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,24.38,IMMER,NIE,OFT,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
1113,WEIBLICH,23,LEDIG,312,300 - 399 EURO,722,KEINER RELIGIONSGEM.,NA,NA,HOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,OBERE MITTELSCHICHT,21.55,IMMER,FAST NIE,MANCHMAL,MANCHMAL,NIE,NIE,FAST NIE,NIE,NIE,NIE,NIE,.._duplicated_8
1114,MAENNLICH,75,VERHEIRAT.ZUSAM.LEB.,543,500 - 624 EURO,1000,EVANG.OHNE FREIKIRCH,NA,NA,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,MITTELSCHICHT,31.7,NIE,MANCHMAL,MANCHMAL,NIE,MANCHMAL,MANCHMAL,OFT,OFT,OFT,OFT,MANCHMAL,.._duplicated_6
1115,WEIBLICH,41,VERHEIRAT.ZUSAM.LEB.,NA,875 - 999 EURO,1400,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,HAUPTBERUFL.HALBTAGS,ANGESTELLTER,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,MITTELSCHICHT,22.68,OFT,MANCHMAL,FAST NIE,MANCHMAL,FAST NIE,FAST NIE,MANCHMAL,OFT,MANCHMAL,MANCHMAL,NIE,.._duplicated_9
1116,MAENNLICH,49,VERHEIRAT.ZUSAM.LEB.,3650,3000 - 3999 EURO,3087,EVANG.OHNE FREIKIRCH,NA,NA,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,"BEAMT,RICHTER,SOLDAT",DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,MITTELSCHICHT,27.76,MANCHMAL,FAST NIE,MANCHMAL,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_7
1117,WEIBLICH,28,VERH.GETRENNT LEBEND,2000,2000 - 2249 EURO,909,AND.NICHT-CHRISTLICH,NA,NA,OHNE ABSCHLUSS,NICHT ERWERBSTAETIG,NA,EHEM.JUGOSLAWIEN,NEIN,NIEDERSACHSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,47.47,OFT,IMMER,FAST NIE,OFT,OFT,FAST NIE,NIE,OFT,MANCHMAL,MANCHMAL,MANCHMAL,.._duplicated_8
1118,WEIBLICH,67,VERHEIRAT.ZUSAM.LEB.,1800,1750 - 1999 EURO,1867,ROEMISCH-KATHOLISCH,FRUEHER ERWERBSTAETIG,IM RUHESTAND,HOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,MITTELSCHICHT,27.04,MANCHMAL,NIE,OFT,MANCHMAL,NIE,NIE,OFT,IMMER,NIE,FAST NIE,NIE,GANZ ZUFRIEDEN
1119,MAENNLICH,21,LEDIG,600,500 - 624 EURO,2000,EVANG.OHNE FREIKIRCH,NA,NA,FACHHOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,HESSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,19.44,OFT,OFT,MANCHMAL,MANCHMAL,NIE,OFT,NIE,NIE,OFT,OFT,FAST NIE,.._duplicated_4
1120,WEIBLICH,30,VERHEIRAT.ZUSAM.LEB.,300,300 - 399 EURO,NA,ROEMISCH-KATHOLISCH,FRUEHER ERWERBSTAETIG,"HAUSFRAU,-MANN",MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,POLEN,NEIN,RHEINLAND-PFALZ,ALTE BUNDESLAENDER,ARBEITERSCHICHT,17.99,IMMER,OFT,OFT,OFT,FAST NIE,NIE,FAST NIE,FAST NIE,MANCHMAL,FAST NIE,FAST NIE,.._duplicated_4
1121,MAENNLICH,28,LEDIG,1100,1000 - 1124 EURO,1267,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,NIEDERSACHSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,35.8,MANCHMAL,FAST NIE,OFT,OFT,OFT,FAST NIE,OFT,OFT,FAST NIE,FAST NIE,FAST NIE,GANZ ZUFRIEDEN
1122,WEIBLICH,54,GESCHIEDEN,3900,3000 - 3999 EURO,1950,ROEMISCH-KATHOLISCH,NA,NA,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,"BEAMT,RICHTER,SOLDAT",DEUTSCHLAND,JA,SAARLAND,ALTE BUNDESLAENDER,OBERE MITTELSCHICHT,22.77,OFT,FAST NIE,OFT,OFT,FAST NIE,NIE,FAST NIE,FAST NIE,FAST NIE,FAST NIE,NIE,.._duplicated_8
1123,MAENNLICH,66,VERHEIRAT.ZUSAM.LEB.,2070,2000 - 2249 EURO,1380,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,BRANDENBURG,NEUE BUNDESLAENDER,MITTELSCHICHT,23.24,FAST NIE,NIE,OFT,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
1124,WEIBLICH,45,GESCHIEDEN,2100,2000 - 2249 EURO,NA,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,SCHLESWIG-HOLSTEIN,ALTE BUNDESLAENDER,MITTELSCHICHT,27.17,MANCHMAL,NIE,OFT,MANCHMAL,FAST NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
1125,WEIBLICH,64,VERHEIRAT.ZUSAM.LEB.,600,500 - 624 EURO,1600,KEINER RELIGIONSGEM.,FRUEHER ERWERBSTAETIG,IM RUHESTAND,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,SACHSEN-ANHALT,NEUE BUNDESLAENDER,ARBEITERSCHICHT,31.22,OFT,MANCHMAL,OFT,MANCHMAL,OFT,NIE,OFT,OFT,FAST NIE,FAST NIE,FAST NIE,.._duplicated_6
1126,WEIBLICH,55,VERHEIRAT.ZUSAM.LEB.,NA,NA,1000,KEINER RELIGIONSGEM.,NA,NA,HOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,MITTELSCHICHT,25.61,MANCHMAL,FAST NIE,MANCHMAL,NIE,OFT,NIE,IMMER,IMMER,FAST NIE,NIE,FAST NIE,.._duplicated_8
1127,WEIBLICH,44,VERHEIRAT.ZUSAM.LEB.,700,625 - 749 EURO,1250,EVANG.OHNE FREIKIRCH,NA,NA,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.HALBTAGS,ANGESTELLTER,DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,MITTELSCHICHT,22.66,FAST NIE,FAST NIE,MANCHMAL,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,MANCHMAL,.._duplicated_7
1128,MAENNLICH,44,VERHEIRAT.ZUSAM.LEB.,1900,1750 - 1999 EURO,950,EVANG.OHNE FREIKIRCH,NA,NA,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,NIEDERSACHSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,28.73,FAST NIE,FAST NIE,MANCHMAL,MANCHMAL,NIE,NIE,NIE,NIE,FAST NIE,FAST NIE,FAST NIE,.._duplicated_7
1129,WEIBLICH,71,VERHEIRAT.ZUSAM.LEB.,811,750 - 874 EURO,875,KEINER RELIGIONSGEM.,NA,NA,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BRANDENBURG,NEUE BUNDESLAENDER,MITTELSCHICHT,31.22,IMMER,NIE,IMMER,MANCHMAL,OFT,NIE,OFT,OFT,NIE,NIE,FAST NIE,.._duplicated_5
1130,WEIBLICH,70,VERHEIRAT.ZUSAM.LEB.,280,200 - 299 EURO,3000,EVANG.OHNE FREIKIRCH,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,MITTELSCHICHT,23.81,MANCHMAL,NIE,OFT,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_9
1131,WEIBLICH,48,LEBENSP.ZUSAM.LEB.,5000,5000 - 7499 EURO,6667,ROEMISCH-KATHOLISCH,NA,NA,FACHHOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,OBERSCHICHT,35.29,NIE,MANCHMAL,FAST NIE,FAST NIE,IMMER,NIE,IMMER,IMMER,MANCHMAL,FAST NIE,IMMER,.._duplicated_2
1132,MAENNLICH,64,VERHEIRAT.ZUSAM.LEB.,NA,NA,NA,EVANG.FREIKIRCHE,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,"BEAMT,RICHTER,SOLDAT",DEUTSCHLAND,JA,NIEDERSACHSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,33.95,MANCHMAL,NIE,OFT,OFT,FAST NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
1133,MAENNLICH,38,LEDIG,1500,1500 - 1749 EURO,1071,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,ARBEITERSCHICHT,30.51,MANCHMAL,MANCHMAL,OFT,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_9
1134,WEIBLICH,45,VERHEIRAT.ZUSAM.LEB.,2800,2750 - 2999 EURO,2444,EVANG.OHNE FREIKIRCH,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,SONST.SELBSTAENDIGE,DEUTSCHLAND,JA,THUERINGEN,NEUE BUNDESLAENDER,MITTELSCHICHT,27.78,OFT,NIE,OFT,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_9
1135,WEIBLICH,58,VERWITWET,780,750 - 874 EURO,978,AND.NICHT-CHRISTLICH,FRUEHER ERWERBSTAETIG,"HAUSFRAU,-MANN",NA,NICHT ERWERBSTAETIG,NA,TUERKEI,NEIN,HESSEN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,30.3,MANCHMAL,MANCHMAL,FAST NIE,FAST NIE,OFT,NIE,IMMER,IMMER,MANCHMAL,MANCHMAL,FAST NIE,.._duplicated_5
1136,MAENNLICH,25,LEDIG,NA,NA,NA,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,MITTELSCHICHT,23.41,MANCHMAL,NIE,OFT,OFT,NIE,NIE,NIE,NIE,MANCHMAL,FAST NIE,FAST NIE,.._duplicated_9
1137,WEIBLICH,27,LEDIG,260,200 - 299 EURO,260,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,ANDERER ABSCHLUSS,HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,ARBEITERSCHICHT,18.09,MANCHMAL,MANCHMAL,MANCHMAL,OFT,NIE,FAST NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_6
1138,WEIBLICH,65,VERHEIRAT.ZUSAM.LEB.,530,500 - 624 EURO,900,KEINER RELIGIONSGEM.,FRUEHER ERWERBSTAETIG,IM RUHESTAND,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,THUERINGEN,NEUE BUNDESLAENDER,ARBEITERSCHICHT,25,IMMER,NIE,MANCHMAL,FAST NIE,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
1139,WEIBLICH,69,VERHEIRAT.ZUSAM.LEB.,800,750 - 874 EURO,1467,EVANG.OHNE FREIKIRCH,FRUEHER ERWERBSTAETIG,IM RUHESTAND,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,MITTELSCHICHT,24.8,FAST NIE,MANCHMAL,MANCHMAL,FAST NIE,FAST NIE,NIE,NIE,NIE,FAST NIE,FAST NIE,NIE,.._duplicated_8
1140,MAENNLICH,47,VERHEIRAT.ZUSAM.LEB.,2250,2250 - 2499 EURO,1087,KEINER RELIGIONSGEM.,NA,NA,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,30.35,MANCHMAL,FAST NIE,OFT,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,GANZ ZUFRIEDEN
1141,WEIBLICH,75,GESCHIEDEN,1300,1250 - 1374 EURO,1300,KEINER RELIGIONSGEM.,FRUEHER ERWERBSTAETIG,IM RUHESTAND,HOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,SACHSEN-ANHALT,NEUE BUNDESLAENDER,MITTELSCHICHT,22.04,OFT,NIE,MANCHMAL,OFT,OFT,NIE,MANCHMAL,MANCHMAL,NIE,NIE,NIE,.._duplicated_7
1142,MAENNLICH,60,VERHEIRAT.ZUSAM.LEB.,470,400 - 499 EURO,867,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,FACHHOCHSCHULREIFE,HAUPTBERUFL.HALBTAGS,ARBEITER,DEUTSCHLAND,JA,HESSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,21.95,MANCHMAL,FAST NIE,MANCHMAL,MANCHMAL,MANCHMAL,NIE,MANCHMAL,OFT,NIE,NIE,NIE,.._duplicated_7
1143,MAENNLICH,19,LEDIG,312,300 - 399 EURO,1000,AND.NICHT-CHRISTLICH,ERWERBSTAETIG,"AZUBI, ETC.",MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,IN AUSBILDUNG,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,25.06,OFT,MANCHMAL,FAST NIE,FAST NIE,FAST NIE,FAST NIE,FAST NIE,NIE,FAST NIE,NIE,NIE,.._duplicated_8
1144,MAENNLICH,79,VERWITWET,NA,1750 - 1999 EURO,1875,ROEMISCH-KATHOLISCH,NA,NA,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,31.48,NIE,NIE,IMMER,MANCHMAL,OFT,NIE,MANCHMAL,IMMER,NIE,NIE,NIE,GANZ ZUFRIEDEN
1145,MAENNLICH,62,VERHEIRAT.ZUSAM.LEB.,1300,1250 - 1374 EURO,2320,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,ARBEITERSCHICHT,33.9,OFT,MANCHMAL,MANCHMAL,MANCHMAL,OFT,NIE,MANCHMAL,MANCHMAL,NIE,NIE,NIE,.._duplicated_9
1146,MAENNLICH,65,VERHEIRAT.ZUSAM.LEB.,3000,3000 - 3999 EURO,1225,EVANG.OHNE FREIKIRCH,FRUEHER ERWERBSTAETIG,IM RUHESTAND,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,27.76,MANCHMAL,NIE,OFT,OFT,FAST NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
1147,MAENNLICH,20,LEDIG,495,400 - 499 EURO,NA,EVANG.OHNE FREIKIRCH,NA,NA,FACHHOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,IN AUSBILDUNG,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,OBERE MITTELSCHICHT,22.72,OFT,MANCHMAL,MANCHMAL,OFT,NIE,NIE,NIE,NIE,MANCHMAL,NIE,NIE,.._duplicated_7
1148,MAENNLICH,58,GESCHIEDEN,NA,625 - 749 EURO,688,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,SACHSEN-ANHALT,NEUE BUNDESLAENDER,ARBEITERSCHICHT,30.12,FAST NIE,FAST NIE,OFT,OFT,OFT,FAST NIE,MANCHMAL,MANCHMAL,NIE,NIE,NIE,.._duplicated_4
1149,WEIBLICH,33,LEDIG,1500,1500 - 1749 EURO,1500,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,FACHHOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,THUERINGEN,NEUE BUNDESLAENDER,ARBEITERSCHICHT,27.55,MANCHMAL,NIE,OFT,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_9
